participant	subject_type	task	run	roi	hemisphere	condition	y	type_of_y
sub-0000	pilot	gic	run-013	GFPalt	RH	Iris	0.16898550896328543	beta_z-score
sub-0000	pilot	gic	run-013	Marquardt2017GFP	LH	Iris	0.501256408245059	beta_z-score
sub-0000	pilot	gic	run-013	Marquardt2017GFP	RH	Iris	0.18505184623827572	beta_z-score
sub-0000	pilot	gic	run-014	GFP	LH	Gaze	0.15664629042182746	beta_z-score
sub-0000	pilot	gic	run-014	GFP	RH	Gaze	-0.5756670978354841	beta_z-score
sub-0000	pilot	gic	run-014	GazeCubes	LH	Gaze	0.3749999162617237	beta_z-score
sub-0000	pilot	gic	run-014	GazeCubes	RH	Gaze	-1.0228071677433401	beta_z-score
sub-0000	pilot	gic	run-014	fMotionArea	LH	Gaze	0.5095605167057926	beta_z-score
sub-0000	pilot	gic	run-014	fMotionArea	RH	Gaze	0.29479947104192383	beta_z-score
sub-0000	pilot	gic	run-014	GFPalt	LH	Gaze	1.0437985988119203	beta_z-score
sub-0000	pilot	gic	run-014	GFPalt	RH	Gaze	1.264823133010626	beta_z-score
sub-0000	pilot	gic	run-014	Marquardt2017GFP	LH	Gaze	0.4774846925593595	beta_z-score
sub-0000	pilot	gic	run-014	Marquardt2017GFP	RH	Gaze	-1.2942413556037915	beta_z-score
sub-0000	pilot	gic	run-014	GFP	LH	Cubes	1.2144564229068247	beta_z-score
sub-0000	pilot	gic	run-014	GFP	RH	Cubes	1.4171660587282366	beta_z-score
sub-0000	pilot	gic	run-014	GazeCubes	LH	Cubes	-0.831501549245986	beta_z-score
sub-0000	pilot	gic	run-014	GazeCubes	RH	Cubes	-2.1956051038156783	beta_z-score
sub-0000	pilot	gic	run-014	fMotionArea	LH	Cubes	1.7098836389981282	beta_z-score
sub-0000	pilot	gic	run-014	fMotionArea	RH	Cubes	0.09938425882363235	beta_z-score
sub-0000	pilot	gic	run-014	GFPalt	LH	Cubes	0.7025584839706496	beta_z-score
sub-0000	pilot	gic	run-014	GFPalt	RH	Cubes	0.6019037555300242	beta_z-score
sub-0000	pilot	gic	run-014	Marquardt2017GFP	LH	Cubes	1.4728156145842284	beta_z-score
sub-0000	pilot	gic	run-014	Marquardt2017GFP	RH	Cubes	0.8959449475834665	beta_z-score
sub-0000	pilot	gic	run-014	GFP	LH	Iris	0.05253333344965223	beta_z-score
sub-0000	pilot	gic	run-014	GFP	RH	Iris	-0.6143718024157222	beta_z-score
sub-0000	pilot	gic	run-014	GazeCubes	LH	Iris	-0.06346097763106072	beta_z-score
sub-0000	pilot	gic	run-014	GazeCubes	RH	Iris	-1.3792792703919545	beta_z-score
sub-0000	pilot	gic	run-014	fMotionArea	LH	Iris	0.20554835230021687	beta_z-score
sub-0000	pilot	gic	run-014	fMotionArea	RH	Iris	-0.0996503602784447	beta_z-score
sub-0000	pilot	gic	run-014	GFPalt	LH	Iris	0.2154614172599673	beta_z-score
sub-0000	pilot	gic	run-014	GFPalt	RH	Iris	1.4338539276808482	beta_z-score
sub-0000	pilot	gic	run-014	Marquardt2017GFP	LH	Iris	0.28650433970632583	beta_z-score
sub-0000	pilot	gic	run-014	Marquardt2017GFP	RH	Iris	-1.1111831045241187	beta_z-score
sub-0000	pilot	gic	run-015	GFP	LH	Gaze	0.9443504193141178	beta_z-score
sub-0000	pilot	gic	run-015	GFP	RH	Gaze	0.7938412075870356	beta_z-score
sub-0000	pilot	gic	run-015	GazeCubes	LH	Gaze	1.6248243691813122	beta_z-score
sub-0000	pilot	gic	run-015	GazeCubes	RH	Gaze	0.09652182461558756	beta_z-score
sub-0000	pilot	gic	run-015	fMotionArea	LH	Gaze	0.7259541609460999	beta_z-score
sub-0000	pilot	gic	run-015	fMotionArea	RH	Gaze	1.3883343144640419	beta_z-score
sub-0000	pilot	gic	run-015	GFPalt	LH	Gaze	0.9635253094555707	beta_z-score
sub-0000	pilot	gic	run-015	GFPalt	RH	Gaze	-0.2148567743085855	beta_z-score
sub-0000	pilot	gic	run-015	Marquardt2017GFP	LH	Gaze	0.8553620245254637	beta_z-score
sub-0000	pilot	gic	run-015	Marquardt2017GFP	RH	Gaze	0.41437453839832933	beta_z-score
sub-0000	pilot	gic	run-015	GFP	LH	Cubes	1.42768116588894	beta_z-score
sub-0000	pilot	gic	run-015	GFP	RH	Cubes	1.8120837140679036	beta_z-score
sub-0000	pilot	gic	run-015	GazeCubes	LH	Cubes	0.8984074319674586	beta_z-score
sub-0000	pilot	gic	run-015	GazeCubes	RH	Cubes	-0.378569729396695	beta_z-score
